#DRT_type;DRT;rifampicin;isoniazid;ethambutol;pyrazinamide;moxifloxacin;levofloxacin;bedaquiline;delamanid;pretomanid;linezolid;streptomycin;amikacin;kanamycin;capreomycin;clofazimine;ethionamide;para.aminosalicylic_acid;cycloserine;description
DRT_type;DRT;RIF;INH;EMB;PZA;MFX;LFX;BDQ;DLM;Pa;LZD;STM;AMK;KAN;CAP;CFZ;ETO;PAC;CYR;description
Poly-DR TB;Poly-DR (FQ+STM);"== ""S""";"== ""S""";"== ""S""";"== ""S""";"(!= ""S"" || == ""S"")";"(!= ""S"" || == ""S"")";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";A fluoroquinolone and streptomycin resistance
Poly-DR TB;Poly-DR (RIF+SLI);"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"(!= ""S"" || == ""S"")";"(!= ""S"" || == ""S"")";"(!= ""S"" || == ""S"")";"== ""S""";"== ""S""";"== ""S""";"== ""S""";Rifampicin, and a second-line injectable (amikacin).
Poly-DR TB;Poly-DR (INH+SLI);"== ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"(!= ""S"" || == ""S"")";"(!= ""S"" || == ""S"")";"(!= ""S"" || == ""S"")";"== ""S""";"== ""S""";"== ""S""";"== ""S""";Isoniazid, and a second-line injectable (amikacin).
Poly-DR TB;Poly-DR (NIM+CAP);"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";Nitroimidazole (DLM, PMD), and CAP resistance
Poly-DR TB;Poly-DR (INH+FQ+ETO);" == ""S""";"!= ""S""";" == ""S""";" == ""S""";"(!= ""S"" || == ""S"")";"(!= ""S"" || == ""S"")";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";"!= ""S""";" == ""S""";" == ""S""";Isoniazid, a fluroquinolone(s), and ethlonamide resistance
Poly-DR TB;Poly-DR (INH+ETO);" == ""S""";"!= ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";"!= ""S""";" == ""S""";" == ""S""";Isoniazid, and ETO resistance
Poly-DR TB;Poly-DR (INH+FQ);" == ""S""";"!= ""S""";" == ""S""";" == ""S""";"(!= ""S"" || == ""S"")";"(!= ""S"" || == ""S"")";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";Isoniazid, and a fluroquinolone(s)
Poly-DR TB;Poly-DR (INH+STM);" == ""S""";"!= ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";"!= ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";Isoniazid, and streptomycin
pre-XDR TB;pre-XDR (RIF+INH+FQ);"!= ""S""";"!= ""S""";;;"(!= ""S"" || == ""S"")";"(!= ""S"" || == ""S"")";;;;;;;;;;;;;MDR + a fluoroquinolone(s)
pre-XDR TB;pre-XDR (RIF+INH+SLI);"!= ""S""";"!= ""S""";;;;;;;;;;"(!= ""S"" || == ""S"")";"(!= ""S"" || == ""S"")";"(!= ""S"" || == ""S"")";;;;;MDR + second-line injectable(s) (AMK, and/or KAN, and/or CAP) 
Sensitive TB;Sensitive;"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";No resistance detected
XDR TB;XDR (RIF+INH+FQ+BDQ);"!= ""S""";"!= ""S""";;;"(!= ""S"" || == ""S"")";"(!= ""S"" || == ""S"")";"!= ""S""";;;;;;;;;;;;MDR + a fluoroquinolone, and bedaquiline
XDR TB ;XDR (RIF+INH+FQ+LZD);"!= ""S""";"!= ""S""";;;"(!= ""S"" || == ""S"")";"(!= ""S"" || == ""S"")";;;;"!= ""S""";;;;;;;;;MDR +  a fluoroquinolone, and linezolid.
XDR TB ;XDR (RIF+INH+MFX+SLI);"!= ""S""";"!= ""S""";;;"!= ""S""";;;;;;;"(!= ""S"" || == ""S"")";"(!= ""S"" || == ""S"")";"(!= ""S"" || == ""S"")";;;;;MDR + a fluoroquinolone (MFX), and second-line injectable(s) (AMK, and/or KAN, and/or CAP) 
XDR TB ;XDR (RIF+INH+LFX+SLI);"!= ""S""";"!= ""S""";;;;"!= ""S""";;;;;;"(!= ""S"" || == ""S"")";"(!= ""S"" || == ""S"")";"(!= ""S"" || == ""S"")";;;;;MDR + a fluoroquinolone (LFX), and a second-line injectable(s) (AMK, and/or KAN, and/or CAP) 
XDR TB ;XDR (RIF+INH+FQs+SLI);"!= ""S""";"!= ""S""";;;"!= ""S""";"!= ""S""";;;;;;"(!= ""S"" || == ""S"")";"(!= ""S"" || == ""S"")";"(!= ""S"" || == ""S"")";;;;;MDR + fluoroquinolones, and a second-line injectable(s) (AMK, and/or KAN, and/or CAP) 
